locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8917,"Ashok Vihar, Delhi - DPCC",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,433,µg/m³,28.695381,77.181665
7044,"R K Puram, Delhi - DPCC",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,77,µg/m³,28.563262,77.186937
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,340,µg/m³,28.58028,77.233829
6359,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,371,µg/m³,28.6811736,77.3025234
8472,"Bawana, Delhi - DPCC",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,465,µg/m³,28.7762,77.051074
6358,"Mandir Marg, Delhi - DPCC",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,385,µg/m³,28.636429,77.201067
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,200.8,µg/m³,28.60909,77.0325413
5630,"Shadipur, Delhi - CPCB",Delhi,IN,2021-11-07T00:00:00+00:00,2021-11-07T05:30:00+05:30,pm25,215.1,µg/m³,28.6514781,77.1473105
10831,"Rohini, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,484,µg/m³,28.732528,77.11992
5586,"Sirifort, Delhi - CPCB",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,278,µg/m³,28.5504249,77.2159377
10488,"Najafgarh, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,186,µg/m³,28.570173,76.933762
6932,"Alipur, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,512,µg/m³,28.815329,77.15301
5570,"Aya Nagar, Delhi - IMD",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,199.83,µg/m³,28.4706914,77.1099364
6960,"Patparganj, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,390,µg/m³,28.623763,77.287209
5626,"DTU, Delhi - CPCB",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,332.8,µg/m³,28.7500499,77.1112615
10486,"Mundka, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,364,µg/m³,28.684678,77.076574
10489,"ITO, Delhi - CPCB",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,432,µg/m³,28.628624,77.24106
5627,"CRRI Mathura Road, Delhi - IMD",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,337.98,µg/m³,28.5512005,77.2735737
5634,"Lodhi Road, Delhi - IMD",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,266.72,µg/m³,28.5918245,77.2273074
6356,"Pusa, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,287.46,µg/m³,28.639645,77.146262
8472,"Bawana, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,465,µg/m³,28.7762,77.051074
6357,"Punjabi Bagh, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,415,µg/m³,28.674045,77.131023
7044,"R K Puram, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,77,µg/m³,28.563262,77.186937
10485,"Narela, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,515,µg/m³,28.822836,77.101981
8915,"Wazirpur, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,481,µg/m³,28.699793,77.165453
6931,"Dwarka-Sector 8, Delhi - DPCC ",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,279,µg/m³,28.5710274,77.0719006
10484,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,309,µg/m³,28.531346,77.190156
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,310,µg/m³,28.498571,77.26484
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,342,µg/m³,28.530785,77.271255
6358,"Mandir Marg, Delhi - DPCC",Delhi,IN,2021-11-06T23:45:00+00:00,2021-11-07T05:15:00+05:30,pm25,385,µg/m³,28.636429,77.201067
